product_id,title,brand,category,product_url,image_url,price_clean,original_price_clean,sale_price_clean,discount_clean,is_discounted,price_tier,savings,savings_percentage,discount_level,product_type,primary_color,material_type,fit_type,size_variant,style_type,title_length,has_image,availability
msk028-wht,Men Socks,Engine,men,https://engine.com.pk/products/msk028-wht,https://engine.com.pk/cdn/shop/files/MSK028-WHT_1.jpg?v=1758696876,399.0,499.0,399.0,0.2,True,Budget (<500),100.0,0.20040080160320642,Low (0-20%),Socks,White,Cotton Blend,Regular,Free Size,Casual,9,True,True
msk030-gry,Men Socks,Engine,men,https://engine.com.pk/products/msk030-gry,https://engine.com.pk/cdn/shop/files/MSK030-GRY_1.jpg?v=1758696977,399.0,499.0,399.0,0.2,True,Budget (<500),100.0,0.20040080160320642,Low (0-20%),Socks,Grey,Cotton Blend,Regular,Free Size,Casual,9,True,True
msk048-wbg,Men Socks,Engine,men,https://engine.com.pk/products/msk048-wbg,https://engine.com.pk/cdn/shop/files/MSK048-WBG_1.jpg?v=1746764767,719.0,899.0,719.0,0.2,True,Economy (500-1k),180.0,0.20022246941045607,Low (0-20%),Socks,White,Cotton Blend,Regular,Free Size,Casual,9,True,True
msk045-nbc,Men Socks,Engine,men,https://engine.com.pk/products/msk045-nbc,https://engine.com.pk/cdn/shop/files/MSK045-NBC_1.jpg?v=1746764570,799.0,999.0,799.0,0.2,True,Economy (500-1k),200.0,0.2002002002002002,Low (0-20%),Socks,Black,Cotton Blend,Regular,Free Size,Casual,9,True,True
msk031-mix,Men Ankle Socks,Engine,men,https://engine.com.pk/products/msk031-mix,https://engine.com.pk/cdn/shop/files/MSK031-MIX_1.jpg?v=1758697001,799.0,999.0,799.0,0.2,True,Economy (500-1k),200.0,0.2002002002002002,Low (0-20%),Socks,Mixed Colors,Cotton Blend,Regular,Free Size,Casual,15,True,True
msk036-mix,Men Ankle Socks,Engine,men,https://engine.com.pk/products/msk036-mix,https://engine.com.pk/cdn/shop/files/MSK036-MIX_3.jpg?v=1758697141,959.0,1199.0,959.0,0.2,True,Economy (500-1k),240.0,0.20016680567139283,Low (0-20%),Socks,Mixed Colors,Cotton Blend,Regular,Free Size,Casual,15,True,True
msk034-mix,Men Ankle Socks,Engine,men,https://engine.com.pk/products/msk034-mix,https://engine.com.pk/cdn/shop/files/MSK034-MIX_1.jpg?v=1758697047,959.0,1199.0,959.0,0.2,True,Economy (500-1k),240.0,0.20016680567139283,Low (0-20%),Socks,Mixed Colors,Cotton Blend,Regular,Free Size,Casual,15,True,True
mt5180-owt,Men T Shirt,Engine,men,https://engine.com.pk/products/mt5180-owt,https://engine.com.pk/cdn/shop/files/MT5180-OWT_4.jpg?v=1759299204,1609.0,2299.0,1609.0,0.3,True,Premium (1.5k-2k),690.0,0.3001304915180513,Medium (21-40%),T-Shirts,White,Cotton Blend,Regular,Free Size,Casual,11,True,True
mt5166-gry,Men T Shirt,Engine,men,https://engine.com.pk/products/mt5166-gry,https://engine.com.pk/cdn/shop/files/MT5166-GRY_1.jpg?v=1756878866,1749.0,2499.0,1749.0,0.3,True,Premium (1.5k-2k),750.0,0.30012004801920766,Medium (21-40%),T-Shirts,Grey,Cotton Blend,Regular,Free Size,Casual,11,True,True
mt5176-blk,Men T Shirt,Engine,men,https://engine.com.pk/products/mt5176-blk,https://engine.com.pk/cdn/shop/files/MT5176-BLK_1_8d3e39c3-16af-4dac-8045-a52b3b79ab8a.jpg?v=1757266301,1749.0,2499.0,1749.0,0.3,True,Premium (1.5k-2k),750.0,0.30012004801920766,Medium (21-40%),T-Shirts,Black,Cotton Blend,Regular,Free Size,Casual,11,True,True
